PackageID,Length,Width,Depth,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,BestFit
DY10256,12.25,2.65,12.5,2-Way Flat Pallet-33264,60,73.19,2-Way Flat Pallet-54432,108,80.51,2-Way Flat Pallet-72576,144,80.51,2-Way Flat Pallet-90720,186,83.2,Half Pallet Box (2 or 4 way base)-10682,22,83.57,Full Pallet Box (2 or 4 way)-21458,48,90.77,Full Pallet Box (2 or 4 way)
DY10258,10.25,3.25,10.5,2-Way Flat Pallet-33264,80,84.12,2-Way Flat Pallet-54432,132,84.82,2-Way Flat Pallet-72576,172,82.9,2-Way Flat Pallet-90720,224,86.37,Half Pallet Box (2 or 4 way base)-10682,24,78.59,Full Pallet Box (2 or 4 way)-21458,48,78.24,Full Pallet Box (2 or 4 way)
DY10259,11.75,3.75,12,2-Way Flat Pallet-33264,51,81.07,2-Way Flat Pallet-54432,99,96.17,2-Way Flat Pallet-72576,132,96.17,2-Way Flat Pallet-90720,165,96.17,Half Pallet Box (2 or 4 way base)-10682,16,79.2,Full Pallet Box (2 or 4 way)-21458,36,88.71,Full Pallet Box (2 or 4 way)
DY10261,4.75,2.25,9.5,2-Way Flat Pallet-33264,296,90.35,2-Way Flat Pallet-54432,497,92.7,2-Way Flat Pallet-72576,670,93.73,2-Way Flat Pallet-90720,832,93.12,Half Pallet Box (2 or 4 way base)-10682,89,84.59,Full Pallet Box (2 or 4 way)-21458,184,87.06,Full Pallet Box (2 or 4 way)
DY10267,5.05,3,19.5,2-Way Flat Pallet-33264,98,87.04,2-Way Flat Pallet-54432,173,93.89,2-Way Flat Pallet-72576,235,95.66,2-Way Flat Pallet-90720,294,95.74,Half Pallet Box (2 or 4 way base)-10682,28,77.44,Full Pallet Box (2 or 4 way)-21458,62,85.36,Full Pallet Box (2 or 4 way)
DY10268,13.25,2.5,32.5,2-Way Flat Pallet-33264,26,84.15,2-Way Flat Pallet-54432,44,87.02,2-Way Flat Pallet-72576,58,86.03,2-Way Flat Pallet-90720,75,89,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
DY10272,7.25,2.75,17,2-Way Flat Pallet-33264,80,81.51,2-Way Flat Pallet-54432,140,87.18,2-Way Flat Pallet-72576,190,88.73,,,,,,,,,,
DY10272,7.25,2.75,17,2-Way Flat Pallet-33264,80,81.51,2-Way Flat Pallet-54432,140,87.18,2-Way Flat Pallet-72576,190,88.73,2-Way Flat Pallet-90720,240,89.67,Half Pallet Box (2 or 4 way base)-10682,21,66.63,Full Pallet Box (2 or 4 way)-21458,53,83.71,Full Pallet Box (2 or 4 way)
DY10274,8.25,3.25,11.5,2-Way Flat Pallet-33264,87,80.65,2-Way Flat Pallet-54432,144,81.57,2-Way Flat Pallet-72576,192,81.57,2-Way Flat Pallet-90720,240,81.57,Half Pallet Box (2 or 4 way base)-10682,24,69.28,Full Pallet Box (2 or 4 way)-21458,54,77.59,Full Pallet Box (2 or 4 way)
DY10275,4.25,3.25,27.5,2-Way Flat Pallet-33264,75,85.64,2-Way Flat Pallet-54432,126,87.93,2-Way Flat Pallet-72576,167,87.4,2-Way Flat Pallet-90720,207,86.67,Half Pallet Box (2 or 4 way base)-10682,24,85.34,Full Pallet Box (2 or 4 way)-21458,48,84.97,Full Pallet Box (2 or 4 way)
DY10307,19.75,4.25,46,2-Way Flat Pallet-33264,0,0,2-Way Flat Pallet-54432,0,0,2-Way Flat Pallet-72576,15,79.8,2-Way Flat Pallet-90720,15,63.84,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
DY10308,17.25,13.25,33.5,2-Way Flat Pallet-33264,2,46.04,2-Way Flat Pallet-54432,6,84.4,2-Way Flat Pallet-72576,8,84.4,2-Way Flat Pallet-90720,8,67.52,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
DY10309,19.25,19.25,23.5,2-Way Flat Pallet-33264,1,26.18,2-Way Flat Pallet-54432,2,32,2-Way Flat Pallet-72576,4,48,2-Way Flat Pallet-90720,4,38.4,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,1,40.58,Full Pallet Box (2 or 4 way)
DY10335,24.5,7,11.2,2-Way Flat Pallet-33264,11,63.52,2-Way Flat Pallet-54432,22,77.63,2-Way Flat Pallet-72576,29,76.75,2-Way Flat Pallet-90720,37,78.34,Half Pallet Box (2 or 4 way base)-10682,3,53.94,Full Pallet Box (2 or 4 way)-21458,6,53.71,Full Pallet Box (2 or 4 way)
DY10336,39,7,11.2,2-Way Flat Pallet-33264,8,73.54,2-Way Flat Pallet-54432,15,84.26,2-Way Flat Pallet-72576,20,84.26,2-Way Flat Pallet-90720,25,84.26,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
